3838,2371,NA,2703,2218,3348,2135,2604,2711,NA,NA,NA,2245
3843,2382,NA,2741,2219,3350,2136,2607,2720,NA,NA,NA,2323
3865,2393,NA,2757,2222,3356,2154,2614,2723,NA,NA,NA,2372
3881,2400,NA,2762,2228,3415,2155,2623,2726,NA,NA,NA,2494
3890,2401,NA,2764,2235,3426,2156,2638,2731,NA,NA,NA,2495
3902,2413,NA,2782,2241,3458,2157,2646,2743,NA,NA,NA,2578
3933,2438,NA,2787,2242,3464,2158,2656,2746,NA,NA,NA,2618
3953,2452,NA,2821,2246,3509,2167,2666,2747,NA,NA,NA,2681
3959,2454,NA,2834,2249,3517,2169,2667,2794,NA,NA,NA,2689
4011,2457,NA,2842,2251,3524,2174,2674,2799,NA,NA,NA,2733
4032,2478,NA,2853,2255,3534,2183,2678,2802,NA,NA,NA,2974
4058,2485,NA,2873,2277,3553,2186,2686,2814,NA,NA,NA,3111
4071,2488,NA,2880,2282,3554,2190,2688,2816,NA,NA,NA,3125
4081,2501,NA,2883,2297,3555,2197,2702,2827,NA,NA,NA,3150
4093,2505,NA,2894,2304,3558,2198,2708,2829,NA,NA,NA,3347
4170,2509,NA,2913,2305,3565,2205,2714,2831,NA,NA,NA,3357
4177,2512,NA,2935,2308,3566,2221,2722,2852,NA,NA,NA,3389
4189,2518,NA,2948,2309,3614,2224,2736,2854,NA,NA,NA,3445
4240,2521,NA,2973,2317,3623,2229,2749,2876,NA,NA,NA,3519
4261,2525,NA,3025,2324,3645,2232,2766,2885,NA,NA,NA,3640
4275,2526,NA,3033,2327,3652,2234,2769,2886,NA,NA,NA,3671
4339,2543,NA,3048,2328,3656,2239,2770,2887,NA,NA,NA,3674
4347,2549,NA,3050,2330,3666,2243,2780,2896,NA,NA,NA,3686
4364,2555,NA,3066,2333,3717,2247,2784,2904,NA,NA,NA,3785
4374,2562,NA,3070,2348,3718,2253,2803,2910,NA,NA,NA,3801
4383,2565,NA,3088,2351,3722,2258,2806,2914,NA,NA,NA,3828
4391,2585,NA,3096,2377,3757,2259,2822,2977,NA,NA,NA,3838
4411,2588,NA,3097,2387,3763,2260,2823,2986,NA,NA,NA,3843
4418,2592,NA,3120,2394,3777,2261,2840,2990,NA,NA,NA,3865
4427,2594,NA,3122,2395,3818,2262,2850,3005,NA,NA,NA,3881
4446,2602,NA,3142,2403,3867,2266,2851,3024,NA,NA,NA,3889
4454,2609,NA,3146,2406,3907,2269,2856,3040,NA,NA,NA,3933
4462,2626,NA,3161,2408,3920,2270,2858,3047,NA,NA,NA,3959
4475,2630,NA,3165,2415,3931,2271,2871,3059,NA,NA,NA,4071
4502,2633,NA,3166,2419,3937,2272,2881,3077,NA,NA,NA,4081
4514,2643,NA,3173,2421,3951,2275,2888,3078,NA,NA,NA,4149
4518,2644,NA,3181,2428,3954,2280,2889,3114,NA,NA,NA,4170
4527,2652,NA,3191,2436,3962,2281,2890,3115,NA,NA,NA,4427
98,2653,NA,3200,2441,3965,2285,2898,3124,NA,NA,NA,4454
179,2662,NA,3216,2442,3987,2286,2923,3156,NA,NA,NA,4462
207,2668,NA,3223,2444,3992,2296,2928,3169,NA,NA,NA,4475
218,2672,NA,3226,2449,4000,2301,2931,3184,NA,NA,NA,NA
253,2677,NA,3228,2451,4001,2303,2933,3195,NA,NA,NA,NA
269,2692,NA,3230,2455,4004,2307,2939,3198,NA,NA,NA,NA
306,2705,NA,3232,2459,4013,2310,2941,3208,NA,NA,NA,NA
428,2709,NA,3252,2463,4026,2311,2953,3213,NA,NA,NA,NA
552,2712,NA,3257,2465,4037,2313,2961,3236,NA,NA,NA,NA
581,2718,NA,3264,2467,4050,2315,2987,3243,NA,NA,NA,NA
629,2725,NA,3273,2477,4098,2318,3012,3268,NA,NA,NA,NA
662,2729,NA,3290,2479,4110,2319,3020,3269,NA,NA,NA,NA
687,2732,NA,3294,2481,4132,2334,3022,3274,NA,NA,NA,NA
931,2742,NA,3295,2483,4147,2337,3038,3287,NA,NA,NA,NA
963,2748,NA,3306,2490,4160,2339,3041,3308,NA,NA,NA,NA
1247,2752,NA,3321,2491,4180,2340,3055,3328,NA,NA,NA,NA
1478,2765,NA,3358,2493,4194,2343,3064,3336,NA,NA,NA,NA
2101,2767,NA,3383,2498,4211,2345,3072,3337,NA,NA,NA,NA
2102,2772,NA,3394,2503,4213,2347,3080,3341,NA,NA,NA,NA
2103,2775,NA,3406,2507,4224,2349,3082,3361,NA,NA,NA,NA
2104,2801,NA,3408,2510,4231,2353,3089,3363,NA,NA,NA,NA
2105,2810,NA,3412,2515,4247,2355,3100,3371,NA,NA,NA,NA
2106,2819,NA,3433,2519,4259,2358,3105,3372,NA,NA,NA,NA
2107,2835,NA,3443,2522,4260,2360,3110,3392,NA,NA,NA,NA
2108,2836,NA,3454,2527,4268,2362,3130,3400,NA,NA,NA,NA
2173,2838,NA,3463,2528,4273,2363,3136,3411,NA,NA,NA,NA
2175,2844,NA,3481,2529,4281,2370,3140,3419,NA,NA,NA,NA
2185,2857,NA,3484,2531,4283,2389,3149,3461,NA,NA,NA,NA
2188,2859,NA,3511,2536,4289,2390,3152,3466,NA,NA,NA,NA
2196,2860,NA,3513,2540,4294,2396,3154,3470,NA,NA,NA,NA
2209,2861,NA,3522,2545,4295,2402,3180,3480,NA,NA,NA,NA
2210,2865,NA,3525,2547,4304,2405,3194,3487,NA,NA,NA,NA
2214,2882,NA,3537,2551,4314,2410,3201,3499,NA,NA,NA,NA
2220,2892,NA,3538,2552,4321,2412,3203,3518,NA,NA,NA,NA
2222,2895,NA,3541,2564,4349,2420,3204,3543,NA,NA,NA,NA
2231,2897,NA,3544,2570,4419,2423,3205,3550,NA,NA,NA,NA
2242,2901,NA,3580,2578,4424,2424,3207,3556,NA,NA,NA,NA
2251,2907,NA,3581,2580,4487,2426,3245,3571,NA,NA,NA,NA
2263,2908,NA,3589,2586,4492,2427,3246,3576,NA,NA,NA,NA
2268,2911,NA,3603,2587,4499,2429,3258,3587,NA,NA,NA,NA
2283,2916,NA,3615,2591,4513,2430,3272,3618,NA,NA,NA,NA
2289,2918,NA,3658,2595,4522,2431,3275,3638,NA,NA,NA,NA
2292,2920,NA,3661,2600,2143,2434,3279,3654,NA,NA,NA,NA
2304,2927,NA,3664,2603,2166,2435,3316,3689,NA,NA,NA,NA
2314,2945,NA,3685,2605,2330,2439,3326,3691,NA,NA,NA,NA
2325,2951,NA,3719,2616,2403,2440,3330,3742,NA,NA,NA,NA
2348,2963,NA,3734,2622,2415,2447,3333,3761,NA,NA,NA,NA
2356,2980,NA,3740,2624,2522,2453,3343,3792,NA,NA,NA,NA
2381,2982,NA,3749,2629,2529,2458,3344,3820,NA,NA,NA,NA
