COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;T51;T52;T53;T54;T55;T56;T57;T58;T59;T60;T61;T62;T63;T64;T65;T66
93.0;73.0;0.0;31.426184628999998;32.68542185099999;19.8743355;32.24668665499999;22.917397669;21.252390289;18.864603038000002;31.855392867999996;23.432788379999998;36.24774563;25.521929594000003;26.996713125;13.259559092;36.63305792599999;23.682679140000005;24.123812487000002;29.960840663000003;29.530859457;28.074415839;21.355222845;23.256515216000004;21.043693189;23.803813866000002;31.525409370000002;25.066136101999998;23.622422191;10.66729204;32.71071636099999;19.24704672;29.390298605999998;19.72074696;23.031612597000006;16.410610507;26.340527390000002;16.377307678999998;14.444763114;28.8150906;18.41590512;24.410211895;22.129553094;33.14062073999999;28.944416043;25.925156519999998;32.969380307;28.518175868;28.172541299;23.985034050000003;28.169786247999998;28.398605141;31.268279965;20.101064809;19.523465378;23.680385336000004;28.788126719;17.106754917000004;27.852537913;26.002131121999998;34.241632949999996;31.818280719;55.34746604499999;43.20063833999999;30.26548218;58.180153199;37.168400295999994;28.824933237000003;16.619254793
44.9;48.4;31.426184628999998;0.0;2.9721168999999996;18.441882348999997;9.899508264000001;10.829868878000001;23.001007898;18.262069227;13.400817317000001;8.226707029000002;29.745249279;19.517678343;11.264716654;34.660618821;42.338317274999994;17.558138809000003;26.495078656;19.725055512;13.289249626000002;11.588360668000002;19.903328854;30.676611465;15.069635618000001;34.59052289499999;22.871647759000002;18.278466951000002;34.316559319999996;29.112168929;27.33191867;14.257704949000003;35.095557955000004;11.705437669;13.194731926000001;18.760929176;16.211360978999995;18.342344868;17.673706243;15.825661549000005;19.222889028999997;10.322548484;22.746078043;16.057057428999997;26.962121512;17.035156008999998;30.258978996;25.104329157;16.734345827999995;16.555104919;18.293853376999998;21.535978950000004;6.070175534;29.888852857999996;21.429089967000003;17.555845005000002;20.087897148;20.539719766000005;30.820156562000005;22.258284830999997;2.952313219;4.861362208;67.245853994;55.099026289000015;26.851635469;70.078541148;49.066788245000005;40.72332118600001;42.176394342
39.7;48.8;32.68542185100001;2.9721168999999996;0.0;19.410303831000007;7.486503806;13.79642008;21.144815020000003;17.783168129;11.544624439000001;11.193258231;27.731401720999997;22.410393844999998;14.231267856000002;37.002778823;41.365417337;14.590888971;24.597182178;17.711207954000002;16.181965127999998;14.55491187;18.047135976000003;29.703711527000003;18.03618682;33.53219111700001;20.857800201000003;17.666355233;37.283110522;31.641912391;25.318071112000002;17.224256151000002;34.12265801700001;14.047597671;12.736358207999999;21.126758158000005;15.238461041;20.70817385;20.640257445000007;12.858411710999999;16.255639191;8.360416905999998;25.157623545;14.043209870999998;25.142404314;14.067906170999999;28.286282978;23.131633139;14.81838335;19.521656121000003;16.280005819;22.641648272000005;8.907449236;32.85540406;23.01485036900001;14.588595167;19.63535801;22.90554874800001;28.797435664;20.244437273;1.979413281;1.89411237;67.24093813599997;55.094110431000004;24.878939450999997;70.07362528999998;49.06187238700001;40.71840532800001;43.91747032400001
51.0;78.3;19.874335500000004;18.441882348999997;19.410303831000007;0.0;24.363347315;18.757819368999996;13.369050949;2.524791578;23.972053527999993;13.90380336;28.60131347;28.607377094;19.693201424999994;27.324267691999996;41.568586706;12.092664000000003;16.240473147;23.965668863;22.859957697;20.890317399;13.471883505000001;28.192043996;22.997586108999993;20.721104766000007;23.943874590000004;29.227708861999986;29.101802610999997;20.8825537;24.827377021;22.185655439999998;34.325827386;10.93412052;6.683772897;14.177618047000001;29.140503289999995;11.596534258999998;19.380291894;16.25963574;4.038578279999999;11.069541475;27.065081873999993;26.284204619999997;25.969487163;15.44927052;29.040472966999996;23.885823128;28.804823578999986;25.87301325;27.879938907999993;14.993930861;20.559158125;25.036593589;4.160178758;12.090370196000002;30.44351051899999;16.598986557;19.969198572999996;27.304800421999996;20.212351050000002;18.543162699000003;60.28299482500001;48.13616712000001;25.63312944;63.11568197900002;42.103929076;33.760462017;31.106383972999993
25.7;48.4;32.246686655;9.899508264000001;7.486503806;24.363347315;0.0;20.723811444;14.004885023999998;22.031434513;5.666685603;17.226208114999995;21.900763345;29.102464069;20.84950238;39.696618846999996;40.604962021;15.767555675;24.689247062000003;11.880569578000001;22.874035351999996;21.173146394;10.90720598;28.943256211000005;24.669581603999998;33.09345592100001;15.027161825000004;22.712083176999997;40.705502766;33.254904855;19.275188796000002;24.039387514999998;33.362202701;19.946705795;19.430070812000004;27.593979042;20.732346865;27.175394733999997;26.832044909000007;14.035078415000001;20.503905574999997;15.054129509999997;26.101457188999998;10.533455495000002;19.453861478;13.631053415000002;22.524847282;17.370197443;19.607095593999997;26.139890645;16.047044642999996;28.540756396000003;15.654961259999995;35.638645704000005;26.271733392999998;15.765261871;23.927884833999997;29.372769632;22.319890788;20.011476097;8.906804645000001;7.679528113999999;66.48048281999999;54.333655115000006;19.117503754999998;69.31316997400002;48.30141707100001;39.957950012000005;43.478735128
66.1;47.6;22.917397669000003;10.829868878000001;13.79642008;18.757819368999996;20.723811444;0.0;29.230981238000005;21.278561306999993;23.280822977000007;5.6393055489999995;38.050479579;11.780528763000001;5.782390234;28.836016581;34.377703815;24.059186929;31.821438016;29.54206423200001;8.829733246000002;6.860092947999999;29.333813794;24.308550105;4.629924698;31.782404815000003;32.68865647900001;22.107587691000003;24.171421099999993;20.007106529000005;37.14892739;3.670350949;27.429840655;8.816069689000003;18.997333906;11.417095916000001;22.172036619000007;10.998511608;9.189622903000002;24.092943709;22.792348008999998;17.354765983999997;15.165012583;25.874066149;30.747149991999997;25.302438169;34.772114256;30.320909817;23.353535748;11.842788799000001;27.160275677;23.12259285;10.053957074;19.775539178;18.103922126999997;24.056893125;22.210238328;12.474749626000001;33.214780262;27.804865071;13.776616399;14.949990748000001;57.150199994000005;45.003372289000005;32.06821612899999;59.98288714800001;38.971134245;30.627667186;33.07133194199999
16.1;75.0;21.252390289000004;23.001007898;21.144815020000003;13.369050949000002;14.004885024000002;29.230981237999995;0.0;11.037138147;13.613591237;25.381645009;18.242851179000002;25.650997083;31.171043073999996;28.702322481;36.76212541499999;10.025755189;13.694950696000001;13.607206572;30.731007886;30.774761428;3.113421214;25.100419605000003;27.35727675799999;22.099159555000004;13.585412299000001;18.869246570999998;30.479857399999997;22.260608489000003;14.46891473;25.560630289;29.519366094999995;22.411962169000002;14.579055405999997;20.778085196000003;18.782040999;22.678617828;20.758346683000003;15.368740548999998;9.509609208999999;13.981350103999997;22.258620582999995;15.925742329;15.611024872000002;11.332392828999996;18.682010676;13.527360837;18.446361287999995;29.887768939;17.521476616999998;17.96974335;25.912212014000005;26.414648377999995;15.277437027;10.023461385;20.085048228;21.942973426000002;9.304037522;16.946338130999997;22.008304279000004;20.328123088;61.661049614000014;49.514221909000014;15.274667149;64.49373676800002;43.481983865;35.138516806;32.484438761999996
49.1;79.8;18.864603038000002;18.262069227;17.783168129;2.524791578;22.031434513;21.278561306999997;11.037138146999997;0.0;21.640140726;16.424545297999998;26.269400668;29.447725912;22.213943363;26.314535229999997;40.558854244;12.994961918000001;13.908560345000001;21.633756061000003;25.380699635;23.411059337;11.139970702999996;27.182311534;24.969489506999995;19.711372304;21.611961788000006;26.895796059999988;28.092070148999998;19.872821238;22.495464219000002;23.172843037999996;33.316094924000005;13.454862458000001;8.653157855000002;16.698359985000003;26.808590487999997;14.117276196999995;18.370559431999997;17.161933658;1.5288788179999997;11.922711453;26.055349411999995;23.952291818;23.637574361;15.709904378000001;26.708560164999998;21.553910326000004;26.47291077699999;27.910830368;25.548026106;14.371885519000001;20.910571623000003;24.026861126999993;6.504808456000001;12.992668114;28.111597717;19.119728495000004;17.637285771;24.972887619999998;19.339379228000002;16.916026997;59.273262363000015;47.126434658000015;23.301216638;62.10594951700001;41.09419661400001;32.75072955500001;30.096651510999997
24.9;41.3;31.855392867999996;13.400817317000001;11.544624439;23.972053527999993;5.666685603;23.280822976999996;13.613591237;21.640140726;0.0;21.583970188;17.964908777999998;23.911527702;19.951496893;39.12586986;35.022656034;20.628757768;24.297953274999998;8.375297331000002;20.107412304999997;19.605071407;10.515912193000002;23.360950224;24.661134497;32.702162134;11.091307258;17.129777189999995;35.12319677900001;32.684155868000005;14.191015829;26.708659047999998;27.779896714;24.304467868;20.123610985;31.381087774999994;17.042571617999993;29.114897367;29.535124701999997;19.692708748;20.112611788;19.411891583;20.519151201999993;8.356868428;13.871555491000002;19.288683748000008;16.942541294999995;11.787891456;16.430705366999995;24.072548038000004;12.684201776;28.572745928999996;13.676240392999999;30.056339717;25.880439605999992;20.626463964;18.345578847;32.54597600499999;21.928597000999996;15.20686875;10.694551018;12.037290187000002;60.898176833;48.751349128;13.535197768000002;63.73086398700001;42.71911108400001;34.37564402500001;43.087441341
59.0;50.7;23.43278838000001;8.226707029000002;11.193258231;13.903803360000001;17.226208115;5.6393055489999995;25.381645009000003;16.424545297999998;21.583970188;0.0;37.96639060999998;15.555155654;6.6409799849999995;26.917234832;39.522240146;19.20517092;26.967422006999996;27.946196843000003;9.319611417;7.349971118999998;25.484477565;28.548555896000007;9.335180869000002;30.052793826;31.09278909;20.921865962;27.485829691;21.306356140000002;35.55306000099999;9.06714162;32.574376986000004;3.96205368;14.143317897000001;10.803342787000002;20.98631489;10.384758479000002;9.609886434000002;19.2389277;17.938332;12.500749975;18.912607914;24.00569676;31.461653822999992;20.44842216;35.48661808700001;31.035413648;22.167814019;12.33266697;25.974553947999997;18.268576840999998;8.713574545;23.420620668999998;15.181876118000002;19.202877116;21.015088198999997;12.582133377;28.360764253;28.519368901999997;11.173454549999999;10.459958859000002;60.63950672499999;48.492679020000004;32.78271996000001;63.472193879;42.46044097599999;34.116973917;34.37058155300001
