;ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;T51;T52;T53;T54;T55;T56;T57;T58;T59;T60;T61;T62;T63;T64;T65;T66
0;0;43;67;25.343999639000003;13.598060344;12.623763134;9.133390440000001;19.559530915;20.545396324;16.152307984;10.220273112000001;21.423273857999998;15.6883482;31.399827792;30.027268328;21.486933883;32.772971078000005;47.030343431999995;7.616348819000001;18.456410415999997;26.728346513;23.765816986;22.429750516;16.250303326;33.689309802000004;24.785163064;26.247854852;26.713876829;25.259382308;34.633520314;26.375655918;27.704909464;23.962101;39.868092751;12.71056608;2.471000086;16.674353974;24.171835269000002;14.076758873;22.006870288;11.51713116;11.70657534;5.971835972999999;32.540257828;23.84726208;28.728496337;10.347352799000001;31.903529513000002;26.733557681;24.619272593;27.416254652000003;26.081796378;14.173092263000001;16.502755205;30.490391524;12.760021932;7.604879802;27.236781717;19.091229646;21.869896446000002;30.062137808;11.110126649;13.431038656;65.806699147;53.632828859;28.468870198;70.24708235599999;47.619138322;39.256376147;36.603716486
1;3;72;14;19.010863859;27.397808163999997;26.423510953999997;23.927494319999997;25.671432055;20.797731604;21.846806464;22.939846812;20.079552918;24.28400622;23.163089052;12.079090568;19.420215703;24.908522018;20.501344212000003;27.773634599;28.234226296;16.840347413;19.486012426;18.713076196;18.744290206;4.537815462;16.295557323999997;27.932956952;18.412240709;11.954348048;20.988863253999998;18.511206858;22.732346224;17.11624926;14.546039371;20.58772386;27.096326686;20.600856214;13.224852729;23.157173033;15.344249428000001;32.8628499;22.463664419999997;28.494580533;8.670928708;20.01518436;15.820254317;29.743988579;19.949265953;15.482739521;15.043941953;13.953613712;15.042088218;32.500423883;23.020023605000002;15.844086424;23.598709151999998;27.762165582;15.684735297;20.208122506;30.218387526;12.890343068;26.254108229;28.327912696;46.755829927;34.581959639;17.218052038;51.196213136;28.568269102;20.205506927;30.270580706
2;5;102;64;9.494006099;30.533842443999998;32.874605174;23.194459199999997;35.576821615;24.709240204;24.600736264000002;22.206811692;34.996499478;22.78742634;38.080035612;27.350935508;28.586012023;4.143944618;38.432859252;27.040599479;27.501191176;31.757293973;31.326842746;29.790731656;24.698731606;25.091825622;22.835535724;27.199921832;33.329187268999995;26.871294608;14.880081574;5.763037818;36.153337744;21.02775786;31.270608571;18.81727338;26.363291566;19.867821094;28.141799289;22.424137913;16.257983667999998;32.129814780000004;21.730629299999997;27.761545413;23.942773648;34.93213092;30.737200877;29.272277819;34.866212513;30.399686081000002;29.960888513;25.794444032;29.959034778;31.767388763;30.886979405;14.097876304;22.865674031999998;27.029130462;30.601681857;20.759555746;31.257459186000002;27.807289628;33.492525328999996;32.022620476;57.209214967;45.035344679;32.134998598;61.649598176;39.021654142;30.658891967;18.253227626
3;6;43;78;20.127431279000003;16.230981424;16.620790214;5.11774596;22.329230695;21.368162224;11.353145344;7.660572852;21.928363758;16.5111141;26.600665151999998;30.731851328;22.309699783;27.556402717999998;41.813775072;9.218893199;14.253600256;21.929183873;25.474441306;23.514419416;11.451140686;28.472741442;25.607928964;21.031286492;21.914714189;27.199929068;29.416951953999998;21.159087558;22.905746824;24.40867368;34.651524391;13.53333198;3.9041797060000003;18.129374854;27.108836889;15.531779753;19.638899488;13.34266878;6.67337598;8.309602833;27.323689467999998;24.2427765;23.929333696999997;11.949897179;27.104366873;21.934395041000002;26.760232493;28.500923552000003;25.836249138;12.892719863000002;20.031514865000002;25.273823164;9.240752892;9.207424182;28.424127357;20.301240706;18.009868266;25.277020628;16.326695009;15.768805516;60.59013078700001;48.416260499;23.669707558;65.030513996;42.402569962;34.039807787;31.387148126
4;16;67;72;17.578164539000003;19.111722003999997;21.452484734;11.9339967;27.359969275;14.155717924000001;18.994778704;14.201460491999999;29.569997118;12.79087722;34.242298512000005;23.656227848;17.616793183;25.007135977999997;39.264508332;17.635285619;21.895233616;29.570817233;21.176363026;19.216341136;19.092774046;25.923474702;16.186057503999997;21.336589472;29.556347549;27.702943688;26.867685214;18.609820818000003;30.547380184;15.07802106;32.102257651;9.8130951;12.547191225999999;7.548440914;28.973448369;4.950845813;13.478196088;21.593322299999997;15.68776272;15.836399372999999;24.774422727999998;31.88440986;31.568849956999998;20.423543939;34.746000233000004;29.576028401000002;30.792537593;24.202845272;30.790683857999998;17.850083722999997;19.464858965;22.724556424;7.810995012;17.623816602;31.433330937;6.835403266;25.651501626;28.638938708;22.070404889;20.600500036;58.04086404700001;45.866993759;31.311340918;62.481247256;39.853303222;31.490541047;28.837881386
5;18;7;30;37.071340559;31.400272804;29.385027974;29.1691029;23.562766015;39.705503104;18.838862884;26.859275051999997;19.617338298;39.61838202;3.6318513119999998;28.644209288;37.511873142999995;43.816293518;39.726133032;25.863603779;29.552257635999997;15.884805173;33.994856806;35.467065556;15.736346626;28.099936302;35.203328823999996;37.975195772;14.144808749000001;21.838611368;39.896634754000004;37.418978358;22.881037204;36.02402076;32.563882351000004;38.20391484;30.390662626;36.594185253999996;21.747519189000002;38.478206573;34.252020928;30.825268379999997;25.30426164;29.812611872999998;25.236047428;17.87031474;17.953583836999996;26.736044999;21.128617013;15.958645181;21.398914793;32.861385211999995;20.474931438;33.818455223;31.456777205;34.751857924;31.099573932;25.852134762000002;23.062809657;37.754580646;27.210443946;19.915702927999998;28.471428329000002;30.361958175999998;65.663601427;53.489731139;17.693957698;70.10398463599999;47.476040602;39.113278427;48.331057406
6;19;40;55;29.862640739000003;5.828159944;2.8595128340000002;16.568624399999997;9.667830955000001;15.916788484;18.381807064;14.963573652000001;14.016019878;11.42372448;30.428815271999998;25.253322848;16.843056822999998;34.418319158;44.229419172;11.787006178999999;21.812757736;20.571861773;18.991871506;17.300600956;15.279290806;32.603222442;20.156555223999998;30.766495952;23.725778609;20.535714248;37.040460154;29.101851558;25.201093144;19.33349316;37.067168491000004;11.45710116;9.906234046;18.926326954;18.103933449;18.200358173;20.753405368;10.01133276;13.40856024;5.549947293;28.035044608;16.4400081;26.224680016999997;11.253224339;29.399713193;24.229741361000002;17.670931073;22.271153492000003;19.133454858;20.107910963;11.779087145;32.630257744;20.195255892;11.775537162;22.513113656999998;20.700624706;26.040553806000002;23.113796288;4.847391689;2.007528136;68.489462587;56.315592299;25.965053878;72.929845796;50.301901762;41.939139587;41.122357586
7;20;77;37;18.815189219;21.122241904;24.087395834;23.731819679999997;30.714006775;11.112142804000001;25.138096744000002;22.744172172;25.752571698;15.76855548;28.836107832;12.542001728;11.038562803000001;24.712847378;29.188931472;27.577959959;28.038551656;22.513366193;11.520107566;9.560085676;24.417308986000002;14.437246481999999;7.513543264000001;27.737282312;24.085259489000002;17.627366828;18.635198794;18.315532218;28.405365004;7.74903162;22.026680791;19.71846024;26.900652046;19.290027694;18.897871509;20.735238293;12.204881668;32.66717526;22.267989779999997;28.296465633;14.698845868000001;25.688203140000002;21.493273097;29.809638299;25.622284733;21.155758301000002;20.716960733;12.698183972;20.715106998;32.304749243;17.134931645;13.296255484;23.403034511999998;27.566490942;21.357754077;16.293401086;31.794819666000002;18.563361848;22.855127729;25.678814956;48.435021067;36.261150779;22.891070818;52.875404276;30.247460242;21.884698067;30.074906066
8;21;34;72;23.561238299000003;18.886659543999997;17.183732834;11.790988800000001;19.161818215;24.756701824;12.529319644;10.932963791999999;23.104538058;19.8996537;27.776839452;34.118970608;25.698239382999997;30.990209738;45.247582091999995;4.587072899;15.445802896;23.105358173;27.857519266;26.521452796;12.627314986;31.906548462;28.996468563999997;24.465093512;23.090888489;28.376103368;32.850758974;24.592894578000003;24.081921124;27.8424807;38.085331411;16.92187158;7.254667845999999;19.538007814;28.263537549000002;16.940412713;23.072706508;8.710848480000001;9.37795038;8.872545452999999;30.757496487999997;25.4189508;25.105507996999997;7.318076879;28.280541173;23.110569341;27.765787613;31.507956932000003;27.012423438;19.712000483;20.594457485;28.707630184;14.587725672000001;4.575603881999999;29.600301657;21.954883486;17.459489226000002;26.453194928;19.019605589;16.331748135999998;64.023937807;51.850067519;24.845881858;68.464321016;45.836376982;37.473614807;34.820955146
9;22;47;18;24.018474419;19.212759664;18.249896894;28.161148859999997;21.655534435;23.041880403999997;17.830908844000003;25.851321012;16.063655298;21.85312656;19.147191432;14.267211188;18.232959222999998;29.916132578;25.825972092;24.855649739;28.544303596;12.824449793;14.475306946;16.207991896;14.728392586;14.199775361999999;21.303167883999997;32.940567511999994;14.396343089;1.0991066479999998;25.996473814;23.518817418;18.716448604;22.12385982;18.663721411;25.1744325;25.971086866;25.608466774;5.040156789;28.164783593;20.351859987999998;29.81731434;24.2963076;25.589403153;10.859049328000001;15.99928674;11.804356697;25.728090959;15.933368332999999;11.466841900999999;7.482819113;18.453869372000003;9.160290437999999;32.810501183;13.171542125;20.851696984;28.606319711999998;24.844180722;4.970742057;25.215733066;26.202489906;8.874445448;17.224888469;20.154298636;51.763440487000004;39.589570199;13.202154418;56.203823696;33.575879662;25.213117486999998;35.278191266
10;34;7;54;24.520111319;21.519547323999998;19.661957173999998;16.617873659999997;12.530403595000001;32.204085244;6.287633644;14.308045812;10.298748737999999;28.276618019999997;16.183080552;22.375911968;29.552384983;31.949082758;33.457835712;13.312374538999999;17.001028396;10.299568853;27.422900146;27.476272096;3.1851173860000004;21.831638982;28.935031503999998;25.423966532;10.285099169;15.570314048;33.628337434;25.551767598;11.276131804;28.80135372;26.295585031;25.6526856;17.839433386;24.042956014;15.479221869000002;25.926977333;24.031579527999998;18.27403914;12.7530324;17.261382633;18.967750107999997;12.91790334;12.299718677;14.184815759000001;15.474751852999999;10.304780021;15.130617473;26.593087892000003;14.206634117999998;21.267225983;23.715436385;28.483560603999997;18.548344692;13.300905521999999;16.794512337;25.203351406;14.659214706;13.647405608;20.538779069;18.860421676;59.395304107;47.221433819;12.040092538;63.835687316000005;41.207743282;32.844981107;35.779828166
11;38;49;16;22.788404759000002;19.760011564;19.301275034;27.70503522;22.238735875;23.589132304;18.414110284000003;26.434522452;16.646856738;22.40037846;19.730392872;12.945967328;19.059820963;28.686062917999998;24.595902432000003;25.438851179;29.127505036;13.407651233;15.723041746;16.755243796;15.311594026;12.969705701999999;20.073098224;31.710497852;14.979544529;2.4203505080000003;24.766404154;22.288747758;19.299650044;20.89379016;17.433651751;24.36526476;26.533836946;24.378397114;6.361400649;26.934713933;19.121790328;30.40051578;24.87950904;26.152153233;9.537805468;16.582488180000002;12.387558137;26.311292399;16.516569773;12.050043341;8.804062973;17.731154612;10.424381537999999;33.393702623;13.718794025;19.621627324;27.376250052;25.427382162;6.291985917;23.985663406;26.785691346;9.457646888;17.787638549;21.205676776;50.533370827000006;38.359500539;13.785355857999999;54.973754036;32.345810002;23.983047827;34.048121606
12;41;7;67;27.829256159000003;26.361495964;24.441588254;19.9270185;17.263116775;35.791980904;9.596778484;17.617190651999998;16.648242078;31.93961256;19.885182852;28.301188748;35.910360523;35.258227598000005;39.383112491999995;16.621519379000002;20.310173235999997;15.541784633;33.780875686;33.834247636;6.494262226;27.756915762000002;33.918276424;28.733111372;15.800843129;21.495590828;37.118776834;28.860912438;17.634107344;32.11049856;32.220861811;28.96183044;21.148578226;27.352100854;21.404498649;29.236122173;27.340724368;20.84480682;16.062177239999997;20.570527473;24.893026887999998;17.5272942;17.610563297;15.632253179000001;20.785596473000002;15.615624641;21.055894252999998;32.518364672;20.131910897999997;24.576370822999998;30.073411925000002;32.975648043999996;21.857489532;16.610050362000003;22.719789117;28.512496246;17.968359546000002;19.572682388;25.380727709000002;23.589603556;65.320580887;53.146710599;17.350937158;69.760964096;47.133020062;38.770257887;39.088973006
13;46;40;52;31.331792699;4.359007984000001;1.390360874;18.03777636;8.198678995000002;14.447636524;19.850959024;16.432725612;12.546867917999998;9.954572520000001;29.158740251999998;23.784170888;15.373904863;35.628188918;42.760267211999995;13.256158139;23.281909696;19.102709813;17.522719546;15.831448995999999;16.748442766;31.134070482000002;18.687403264;32.235647912;22.256626649;19.066562288;37.517304454000005;30.311721318;26.670245104;17.8643412;35.598016531;12.66697092;11.375386006;19.770278794;16.634781489;19.335183173;19.584819447999998;11.48048472;14.8777122;7.019099252999999;26.565892648;14.97085614;26.355358456999998;12.722376299;29.530391633;24.360419801000003;16.201779113;20.802001532000002;17.664302898;21.317780723;10.309935184999999;33.374175664;21.664407852;13.244689122;21.043961697;21.544576546;27.509705766000003;21.644644328;3.378239729;0.538376176;68.697735607;56.523865319;26.095732318;73.138118816;50.510174782;42.147412607;42.591509546000005
14;48;49;88;19.481131619000003;18.958954623999997;20.063226674;9.76923156;21.560245015;20.545568524;10.584159664;7.459403712;21.159378078;15.6885204;25.831679471999998;30.085551668;21.487106083;26.910103058;41.167475411999995;13.024022878999999;12.349207516;21.160198193;24.651847606;22.691825716;10.682155006;27.826441782;24.785335263999997;20.384986832000003;21.145728509;26.430943388;28.770652294;20.512787898000003;22.136761144;23.76237402;34.005224731;12.71073828;10.215788686;18.162124354;26.339851209000003;15.564529253;18.992599828;18.11323818;5.9043903;13.744968813;26.677389807999997;23.47379082;23.160348016999997;15.255701219;26.335381193;21.165409361000002;25.991246813;27.678329852;25.067263458;12.070126163000001;21.655914845;24.627523504;12.957541211999999;13.012553861999999;27.655141677;20.164371706;17.240882586;24.508034948;21.647173709;19.211241976;59.943831127;47.769960839;22.900721878;64.384214336;41.756270302;33.393508127;30.740848466000003
15;58;96;42;18.717662219;28.489584064;31.454737994;23.634292679999998;34.246356055;18.376270383999998;25.040569744000003;22.646645172;28.654476918;22.018319759999997;31.738013052;21.008912948;18.698555922999997;17.597028698;32.090836691999996;27.480432959;27.941024656;25.415271413;22.011025426;20.051003536;25.138565086;18.749803062;15.528184084000001;27.639755312000002;26.987164709;20.529272048;9.487698094;14.930814798;31.307270224;15.0131592;24.928586011;19.751625;26.803125045999998;20.307654574;21.799776729;22.863971393;15.051047788;32.56964826;22.170462779999998;28.201378893;17.600751088;28.590108360000002;24.395178317;29.712111299;28.524189953;24.057663521000002;23.618865953;19.452421472;23.617012218;32.207222243000004;24.843831305000002;1.421531584;23.305507512;27.468963942000002;24.259659297;19.914920866;31.697292666000003;21.465267068;31.317093749;32.491020256;47.029044427;34.855174139;25.792976038;51.469427636000006;28.841483602;20.478721427;29.096467166
