;ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;T51;T52;T53;T54;T55;T56;T57;T58;T59;T60;T61;T62;T63;T64;T65;T66
0;0;43;67;20.458812299;11.052263644;10.316195654000001;7.41943344;15.877095355000002;16.956766744;13.119396724;7.979375712;17.266051517999998;12.871077900000001;25.293545412;24.158736188;17.230816123;26.892928118;38.037799631999995;6.098039819;15.182665276;21.687882233;19.267692226;17.896939456;13.186134046;27.468895842000002;20.175447064;21.304501832;21.910351289;20.123782928;28.545266314;21.483162498000002;22.723470604;19.31227026;32.385498211;10.35707232;2.022780166;13.206734554;19.616265129000002;11.166726173;17.863642708;9.16677462;9.07871928;4.709702493;26.698785448;19.32486672;23.236772896999998;8.381101139;25.680533033;21.763181501000002;19.908775793;22.036130792;21.413899097999998;11.443812083000001;13.621037225;24.956745964;10.651621452;6.086570802;22.184650137;15.249774166;17.948659386000003;24.356536448;9.228879449;10.642087876;53.543670547000005;44.012106599;23.093135458;57.576776036;39.288865222;32.380753427;29.908212146
1;3;72;14;15.012632279;21.436484823999997;20.700416834;19.06309242;20.066467555;16.316629264;17.342996464000002;18.553870271999997;15.724373058;19.53241812;18.196946472;9.956955368000001;15.833532223;20.165551298;16.581726372000002;22.117462079000003;22.822031056;13.196593013;15.933142726;14.955793036;14.818844266000001;3.670892142;12.858105424;22.404404852000003;14.689623389000001;9.264693608;17.601106234;14.755785677999999;17.982730384;13.43843904;11.534962411;16.54795032;21.927830506;16.682251534;10.260281109000001;18.680981633;12.338512828;25.986544079999998;18.16625808;23.107240173;6.939897568;15.984666540000001;12.659760857;23.740536239;15.724416173;12.200532040999999;11.730266813;11.120255972;11.514223697999999;26.298556763;18.664822445000002;12.722183644000001;18.739122732;22.105993062000003;12.167875857;16.304426566;23.912185686;10.105857188;20.640172529;22.416655156;37.907121787;28.375557839;13.530485998;41.940227276;23.652316462;16.744204666999998;24.462032126
2;5;102;64;7.490948519;24.835320843999998;26.896963753999998;18.65365962;28.674371095;20.168805963999997;19.830313864;18.144437472;28.106944937999998;18.58465794;30.579518351999997;22.579033628;22.756528183;3.400886618;30.900990012;21.708029279;22.412598256;25.579164893;25.430248546;24.029638036;19.897051186;20.332086222;18.587153884;21.994972052;27.072195269;21.647265488;12.401228374;4.449119358;29.434387744;17.30574114;25.248688591;15.2536506;21.518397706;16.272818734;22.642852989;18.271548833;13.183419868000001;25.751213279999998;17.756825279999997;22.697807373;19.561975827999998;28.36723842;25.042332737;23.648357099000002;28.106988053000002;24.583103921000003;24.112838693;20.953041932;23.896795578;25.889123963;24.975627725000002;11.388709924;18.329689932;21.696560262000002;24.550447737;16.908147046;25.393368906000003;22.488429068;27.176267549000002;26.015097916;46.406860927000004;36.875296979;25.913057878;50.439966416000004;32.152055602;25.243943807;15.037548926
3;6;43;78;16.053202019;13.424613544;13.550289794000001;4.0621459799999995;18.196918135;17.569164664;9.352860904;6.083914512;17.830970777999998;13.48347582;21.527009592;24.843893468;17.843214043;22.487317838;33.632189352;7.365205319;11.935145296;17.921346413;20.603005486;18.928455916;9.419598226;23.063285562;20.787844984;16.898891552000002;18.143815469;21.807019328;24.139656034;17.077552218;18.956934784;19.92466818;27.979887931;10.96947024;3.227598646;14.449374574;21.925321629000003;12.409366193;15.914619208000001;10.71629334;5.72927124;6.736038572999999;22.293175167999998;19.528573440000002;19.470237076999997;9.648266639000001;21.913997213000002;17.996645681;21.553071353;23.067647252;20.855373498;10.172041883;16.412868845000002;20.551135684;7.359629412;7.353736302;22.868074317;16.492414186;14.915915946;20.590000628;13.656540389;12.668423956;49.138060267;39.606496319;19.326599638;53.17116575599999;34.883254942;27.975143147;25.502601866000003
4;16;67;72;14.022765839;15.851951584;17.799897733999998;9.2976483;22.183877935;12.040825804;15.175783504;11.319416832000002;23.653893378;10.582980000000001;27.349932192;19.296778508;14.628548023;20.456881658;31.601753172000002;14.303721239;17.758067896;23.744269013;17.698747966;16.024198396;15.242520826;21.032849382000002;12.775393084000001;17.170512812000002;23.966738069;22.348028648;22.109219854;15.047116037999999;24.779857384;11.86504806;25.949451751;8.06897442;10.228461586;5.872877734;23.343616149000002;3.832869353;10.392233308;17.37245604;12.4187604;12.752234073;20.262738988;25.35149604;25.293159677;16.586782559;27.736919813;23.819568281000002;24.813601853;19.574565872;24.597558738;14.097054383000001;15.878731924999999;18.520699504;6.338087112;14.292252222;25.251210897;5.3130338859999995;20.738838546;23.189192228;18.192898289000002;16.918031896;47.107624087000005;37.576060139;25.149522238;51.140729576;32.852818762;25.944706967;23.389161746000003
5;18;7;30;29.832148859;25.110156304;23.712168314;23.82598608;19.288992475;31.432932184;15.571189924;22.003037652;15.900539477999999;31.833739259999998;2.979321552;23.027840828;29.980228903;35.281854218;31.349797212000002;21.058405379;24.318471675999998;12.784001573;27.231414946;28.374247936;13.047037726000001;22.444545942;27.974408343999997;30.677838392;11.680997129;17.145683408;32.717409154;29.872088598;18.449431444;28.55474196;25.697495791;31.27772916;25.002334726;29.663833894;17.263985709;31.122758933;27.454815747999998;24.214737539999998;20.8349829;24.603680793;20.010783028;14.225634000000001;14.398407977;21.968729699;16.747908653;12.830557121;16.891735433;26.236558892;16.194037578;27.967019482999998;25.279432085;27.838486564;25.508042952;21.046936362;18.206738397;30.550055146;22.140379146;15.928664708;22.799048009;24.311885836;53.023424707000004;43.491860759;14.160511077999999;57.056530196;38.768619382;31.860507587;39.281548706
6;19;40;55;23.747139779;4.881022144;2.5685805740000003;13.19990022;7.869294595;13.205079004;14.618928544;11.782790171999999;11.455770198;9.59106732;24.202187712;20.159496248;13.479128383;28.049456618;35.096063592;9.357149158999999;17.877555796;16.414159253;15.268452286;13.877918236;12.094776346;26.190812322000003;16.559991783999997;24.592829312;19.378283009;16.208816408;30.112688553999998;23.515148658;20.405300944;15.9003024;29.443762171;9.3949194;7.803246946;15.214182994;14.674226709000001;14.748203453;16.901489788;7.88953368;10.61473542;4.343943393;22.818597748;13.514585400000001;20.918603237;8.943531419000001;23.362363373;19.445011841000003;14.806604213;18.017109572000003;15.802520357999999;16.117945043;9.555052445;26.524168204;16.432088231999998;9.345680141999999;18.269683617;16.666332586;21.188117766;18.814897028;4.176952469000001;1.6867147359999999;55.585065967000006;46.053502019;20.774965798;59.618171456;41.330260642;34.422148847;33.196539626
7;20;77;37;14.760542639;17.168406844;19.301919734;18.81100278;24.642438535;8.726923984;19.987657024;18.301780632;20.300344038;12.50572704;22.772917451999998;10.179296288;8.997811363;19.913461658;23.094389112;21.865372439;22.569941416;17.772563993;9.600968026;7.9264184559999995;19.394815246;11.510277942;5.726416684;22.152315212;19.265594369;13.840664588;15.466223494;14.503696038;22.558701364;5.84873376;17.442087691;15.41897862;21.675740865999998;14.918622274;14.836252089;15.896781533;9.692190148;25.908556439999998;17.914168439999997;22.444517073;11.755374928;20.56063752;17.235731837;23.805700259;20.300387153000003;16.776503021;16.306237793;10.064084072;16.090194678;26.046467123;13.818741545;10.748754664;18.487033092;21.853903422000002;16.743846837;12.546452625999999;25.550712066000003;14.681828168;18.214603529;20.883067156;39.116064847000004;29.584500899;18.106456978;43.149170336;24.861259522;17.953147726999998;24.209942486000003
8;21;34;72;18.759730799000003;15.482689804;13.937073554000001;9.74853378;15.366248935000002;20.699810044;10.108776664;8.495104152;18.586886537999998;16.6141212;22.282925352;27.579395468;20.973859423;25.193846618;36.338718132;3.7809074989999996;12.578893516;18.677262173;22.688351506;21.075554836;10.175513986;25.769814342;23.918490364;19.605420332;18.899731229;22.562935088;26.846184814;19.784080998;19.712850544;22.74346926;30.686416711;14.10011562;6.033553006;15.938215954;22.681237389;13.898207573;18.621147988;7.13199552;7.3270494;7.122822332999999;24.999703948;20.2844892;20.226152836999997;6.063968819;22.669912973000002;18.752561441;22.308987113;25.214746172;21.611289258;16.132736123;16.799652605000002;23.257664463999998;12.074539991999998;3.769438482;23.623990077;17.981255566;14.249620806;21.345916388;15.497331689000001;13.055207716;51.84458904700001;42.313025099;20.082515397999998;55.87769453600001;37.589783722;30.681671927;28.209130646000002
9;22;47;18;19.098842639;15.135911164000001;14.399843174;22.448689859999998;16.917364795;18.575953683999998;14.193893704;20.625741431999998;12.575270298;17.75173554;15.047843712;11.944599728;14.759605063;24.251761658;20.319704652000002;19.681109159000002;22.941175456;10.047490253;11.505501046;13.153624096;11.669741506;11.414453382;16.944315783999997;26.490615212;11.540520629;0.796390448;21.687316594;18.841996038;14.833627624;17.5246494;14.667403231;20.30835708;20.714468206;20.768461894;4.023214509;22.767191993;16.424723187999998;22.83744132;19.45768668;20.256320493;8.927541928;12.835563780000001;9.510658097;20.591433479;12.575313413;9.051429280999999;5.863462253;14.371169792;7.364877738;26.589723263;10.913386205;16.808394004;22.825333091999997;19.669640142000002;3.9782795369999997;20.390636926;20.763082926000003;6.956754428;13.312526969;16.116081496;41.993332147000004;32.461768199;10.381383238;46.026437636;27.738526822;20.830415027;28.548242486
