ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CERCANO
0;43;67;32;2.546155186
3;72;14;21;4.709084562
5;102;64;13;3.810255518
6;43;78;32;3.928256626
16;67;72;35;5.028724013
18;7;30;10;3.369573972
19;40;55;59;2.215021456
20;77;37;29;7.07266104
21;34;72;53;4.894258782
22;47;18;25;1.041439808
34;7;54;20;3.204871966
38;49;16;25;2.638105568
41;7;67;20;6.493326646
46;40;52;59;0.572202496
48;49;88;38;5.9205405
58;96;42;51;1.483045264
63;26;37;41;4.8304704
65;41;46;58;0.028833449
68;43;46;58;1.082036609
85;43;79;3;4.44204192
90;63;72;35;6.987262733
96;44;18;25;2.579575628
98;72;68;35;5.411228813
107;39;76;3;7.8879594
109;59;16;40;5.372986648
110;35;23;48;2.959742058
116;64;54;5;3.975248524
118;39;47;58;1.223173529
119;48;30;25;5.662344908
120;49;51;9;5.05201272
122;39;28;46;4.350248933
125;103;47;51;5.303229544
130;38;28;46;4.847278793
134;53;86;7;4.919292732
138;48;51;59;4.782167536
139;49;65;39;4.715577993
143;56;66;31;6.30559608
144;64;42;12;1.572046003
146;48;52;59;4.289135656
147;26;34;41;3.41280762
150;64;68;35;4.594686353
156;49;72;3;4.80744588
159;43;93;38;7.49829834
160;53;68;32;6.761617366
161;38;17;57;5.396205308
162;26;43;8;6.782145618
165;83;42;29;7.7967963
176;72;24;40;5.868687868
179;90;70;0;2.430459539
180;7;60;20;6.842731306
181;54;76;7;4.927478952
184;37;56;59;3.150061096
191;68;23;40;3.521027968
192;53;71;52;6.535393212
196;29;50;4;3.759181735
197;18;60;20;4.308122326
199;77;24;21;7.551489342
202;28;45;4;2.945602315
204;68;98;23;4.129886192
207;71;72;55;5.022809206
208;18;64;20;2.298608506
209;77;39;29;6.08585394
210;2;30;10;1.101200592
212;68;18;40;3.022473268
213;38;30;46;4.910242973
216;41;35;50;8.797411205
217;35;55;59;4.161217096
218;91;50;51;7.859119384
222;66;35;19;5.211372616
223;71;66;33;4.862350714
229;19;50;8;7.893526098
230;39;71;39;5.394960153
234;74;16;21;6.147040302
235;57;23;25;6.482120888
238;48;23;34;1.976550549
240;41;60;39;3.320405253
241;65;70;35;1.419952433
242;28;44;4;3.479242435
247;51;41;50;2.539236245
249;72;43;29;2.89027608
250;8;39;20;7.993397386
253;94;51;51;8.209548364
255;43;30;34;5.572215069
257;79;35;22;8.309298064
258;34;44;8;5.877898938
264;51;49;1;3.569999944
267;77;36;29;7.5119889
268;29;47;4;2.424713335
269;85;61;36;7.417932388
270;19;69;20;4.915168606
271;54;56;9;8.1130128
275;19;66;20;3.397634026
276;41;66;39;5.266343853
288;81;14;40;12.86463099
294;73;45;29;3.16384914
297;67;68;35;2.942086193
300;40;29;46;5.361994193
303;64;49;5;2.238040144
305;34;88;16;8.091479356
306;80;63;36;6.016139848
314;46;58;39;5.155721973
324;43;87;38;4.47856434
325;66;41;5;4.175714944
329;90;48;51;9.001559044
331;73;61;31;6.62201454
332;49;43;58;7.428485489
337;34;43;8;5.390231358
340;67;71;35;4.552393373
343;40;20;46;1.943937833
349;27;84;6;7.336061704
353;47;30;25;5.175254768
354;71;50;5;5.321604904
355;26;22;17;4.110475793
356;47;34;50;6.341905205
357;56;20;25;6.406414928
360;48;29;34;4.820673369
362;49;60;39;4.780898973
369;46;79;32;4.476621046
374;64;60;35;5.710393613
379;46;33;50;7.113310565
380;67;47;5;5.208207124
393;47;62;39;3.388248333
398;59;43;50;5.252412245
404;47;80;32;5.168628346
412;35;20;48;3.140854038
413;79;49;29;5.9778108
414;92;46;51;6.556734604
424;48;1;25;9.904609628
426;35;43;8;5.885298678
428;93;49;51;7.053304804
435;68;61;31;6.99197238
438;23;58;4;5.463360655
439;81;52;36;6.258509968
442;36;84;38;5.87289876
450;69;51;22;4.605793624
465;40;45;58;1.005368069
471;43;70;32;1.082666686
478;66;45;5;4.079541184
479;55;43;9;6.7682595
500;79;45;29;8.01593622
506;59;72;35;5.428354433
507;86;41;51;7.493105464
510;44;48;1;4.361487484
522;66;4;30;6.891512671
527;63;14;40;4.437588568
529;63;2;40;10.21419555
535;55;56;9;7.61652972
541;60;42;12;0.531786703
546;73;11;40;8.145038668
548;64;27;11;0.060368468
551;36;42;2;5.324864114
552;86;63;36;7.303399948
556;70;63;55;6.531719746
559;27;70;53;5.358976002
562;86;25;21;12.3711961
564;36;43;2;4.801758734
567;66;56;9;6.20145504
571;70;12;21;4.771845342
576;66;72;35;5.796996233
579;90;31;51;12.35472108
581;80;67;55;8.142374206
589;64;52;5;3.004262884
590;70;46;5;5.514493384
594;75;52;29;5.82413124
601;25;23;17;3.450737033
606;50;29;34;5.767722909
608;36;61;39;5.602420833
615;26;39;4;5.080314055
617;84;26;40;12.00032445
618;48;11;25;5.026075808
623;70;30;47;5.078986052
627;74;46;29;5.31315198
628;31;49;4;2.373125515
629;80;61;36;5.418785248
631;40;58;59;3.675645256
632;61;42;12;0.021608623
636;66;60;35;6.734544053
637;126;43;65;6.851190407
639;33;30;48;6.209272278
640;44;35;50;7.307540885
644;40;49;2;0.012167654
651;31;48;4;2.854114075
653;60;72;35;5.954144693
654;41;15;57;5.502658868
656;73;18;21;7.624800042
658;73;27;11;4.546039748
659;61;35;47;3.368300312
662;80;65;55;7.712666086
666;64;1;40;10.88056221
670;62;38;19;2.548687996
672;25;57;4;4.356167335
673;17;30;24;4.673323769
677;62;45;5;5.984733604
681;94;47;51;5.812044244
682;51;72;3;5.73860532
686;75;36;22;5.756079244
687;74;64;33;5.045846254
688;70;4;21;6.276786942
693;70;9;21;3.230702082
695;75;38;22;4.794174544
710;41;23;34;5.330855709
714;56;22;25;5.422360748
715;64;72;35;7.498907153
719;103;64;13;3.258369698
721;33;57;37;5.53176024
722;39;94;16;5.537047996
724;81;47;29;5.55514896
725;66;14;40;5.977391668
727;50;17;54;0.041054997
728;70;25;11;6.662183648
730;40;66;39;5.023020753
739;40;69;39;3.443752113
748;56;64;31;5.27484198
749;64;62;55;5.481123406
757;50;22;25;4.556291408
761;126;33;65;6.667173467
786;93;47;51;6.930867544
789;28;35;41;4.113243
806;148;-13;60;3.107677867
813;30;39;8;5.193278658
815;68;4;21;6.576106782
817;104;65;13;4.950863558
818;56;43;50;3.799274525
823;54;79;52;3.912313212
836;131;8;61;6.509029619
844;94;37;51;4.311531004
845;90;26;11;11.32225729
848;109;84;66;2.707416266
849;39;79;3;6.52721856
860;81;13;40;13.36109253
869;33;36;41;6.00103332
877;84;28;40;11.01658251
896;38;71;39;4.882385733
908;106;90;66;1.666943426
922;89;83;0;6.951962399
927;89;84;0;7.223804279
931;89;60;27;4.034976018
932;123;39;65;4.482017507
939;50;59;31;3.1662336
945;70;-8;30;2.661978391
947;68;79;52;7.671233172
951;50;98;49;0.070949003
963;97;53;51;9.604040764
1016;138;-4;60;7.157695747
1046;81;30;40;9.014466088
1050;89;27;11;10.88079127
1111;126;10;61;4.994494079
1125;38;83;38;4.44246696
1132;40;88;38;6.41164398
1149;47;81;32;5.660368186
1195;98;30;65;9.904686167
1200;138;-22;60;12.57265117
1201;67;35;11;5.427250628
1208;57;59;31;1.25432916
1239;132;30;65;4.820999867
1246;126;2;61;2.677124399
1247;79;60;36;4.731695608
1314;109;90;66;0.831889526
1325;109;91;66;0.547969406
1367;41;17;54;4.525042017
1378;90;13;40;16.13385663
1383;50;74;32;5.558006506
1386;130;49;64;6.793631902
1428;27;77;53;5.036722782
1429;126;-13;61;5.055592439
1448;50;88;38;6.39296574
1470;67;60;36;8.241020968
1476;115;68;13;6.520907858
1478;94;57;51;9.847519624
1507;28;39;41;5.3779716
1520;90;30;51;12.11843772
1539;42;63;39;4.512450753
1549;123;31;65;2.076480347
1562;38;96;16;4.505078356
1575;153;49;64;14.49234902
1582;57;70;31;4.3950717
1609;132;48;64;6.088903822
1610;50;77;32;6.475277626
1613;107;30;65;7.364621507
1678;123;30;65;2.372542007
1684;103;90;66;2.580697526
1688;42;82;38;2.61292302
1702;71;27;11;5.556165428
1718;84;39;51;9.471593824
