ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CENTRO
4238;26;35;3403;20.34619027
4239;50;16;2693;18.44935031
4240;93;68;2783;10.44573184
4241;31;27;2458;20.18794936
4242;77;57;3624;8.57255912
4243;89;63;3664;26.30626008
4244;37;64;4244;0
4245;75;44;2989;10.60893509
4246;30;52;2301;30.39473876
4247;59;1;4268;44.91642284
4248;34;65;4244;10.34888962
4249;41;75;3040;44.05020702
4250;27;83;4045;35.59950289
4251;45;13;2693;24.10502458
4252;27;41;3531;4.750412103
4253;3;40;4507;12.50569837
4254;58;45;632;15.64579199
4255;41;26;2625;21.25525416
4256;21;66;4359;25.48331267
4257;62;94;3700;50.53692733
4258;50;14;2693;23.83318648
4259;73;-22;3565;18.59008815
4260;48;2;2693;68.84957996
4261;98;61;3966;69.8951529
4262;74;40;2989;17.95321477
4263;56;67;2526;23.02127897
4264;48;39;4009;13.69043558
4265;147;-8;3032;10.25059591
4266;46;66;4168;15.97605735
4267;94;46;3966;27.73707568
4268;65;-8;4268;0
4269;64;75;3700;20.69996163
4270;39;35;65;33.11683581
4271;20;18;3675;16.22187705
4272;100;33;3966;44.3757445
4273;73;-3;3565;30.8687498
4274;49;24;2693;15.58957887
4275;102;74;2783;27.26840011
4276;40;90;3761;38.81055603
4277;31;55;2301;39.41646678
4278;32;84;4045;29.97745762
4279;87;32;3966;63.12194828
4280;-1;28;2205;8.25817884
4281;64;12;2504;20.31415661
4282;1;46;2122;46.01395272
4283;71;13;2504;39.80832763
4284;19;30;3015;20.12802617
4285;37;100;3055;19.48124627
4286;18;-39;2152;35.98510822
4287;52;27;2693;39.57098845
4288;12;-26;2152;42.85165993
4289;62;9;2504;33.09230186
4290;27;71;4359;28.52851683
4291;79;68;3175;35.17808376
4292;63;84;3700;23.99024458
4293;86;56;3564;53.25143661
4294;53;14;2693;30.98852954
4295;101;10;3131;108.2534019
4296;6;-32;2152;74.83665007
4297;133;30;3943;37.68379655
4298;151;59;3720;103.2142029
4299;36;35;65;38.95456435
4300;35;32;3403;30.3315196
4301;48;75;4016;12.68072445
4302;79;66;3175;35.31391979
4303;47;97;951;28.76469233
4304;52;9;2693;37.40360665
4305;69;59;3481;23.54978887
4306;73;26;2504;35.95496905
4307;36;92;3055;26.29857877
4308;5;71;2122;29.9057841
4309;45;68;4183;13.29426479
4310;99;45;3966;12.58529058
4311;15;85;3616;29.27400418
4312;138;6;3854;59.32749644
4313;20;71;2122;18.67109425
4314;79;10;3131;49.36018076
4315;26;60;2301;28.50596468
4316;32;34;3403;22.39652946
4317;100;52;3966;27.72979239
4318;34;64;4244;7.646092349
4319;61;82;3700;16.21487871
4320;78;53;3564;29.86224213
4321;65;14;2504;16.69847402
4322;33;42;3531;22.83401227
4323;5;74;2122;21.63257764
4324;45;63;4168;14.54687222
4325;22;31;3015;9.829162101
4326;77;35;2989;36.48786051
4327;26;56;2301;18.24946014
4328;21;64;4359;30.4642214
4329;64;36;2365;17.15170526
4330;25;26;3015;15.27789089
4331;51;59;1999;23.09773475
4332;78;33;2989;41.34137762
4333;33;73;3040;4.897135019
4334;90;58;3664;41.59168606
4335;19;48;2122;39.96948346
4336;89;47;3966;37.16105187
4337;101;107;2516;68.15455232
4338;34;73;3040;7.338551171
4339;100;60;3664;12.35578754
4340;9;87;2122;53.35052476
4341;90;53;3664;40.72737484
4342;23;41;3531;5.179028245
4343;109;-19;4351;12.99198083
4344;72;59;3481;18.9425368
4345;65;92;3882;44.26292169
4346;101;51;3966;31.32426182
4347;93;79;2783;18.0530856
4348;20;40;3531;18.6159065
4349;80;13;3131;45.85741391
4350;61;85;3700;23.64936297
4351;111;-22;4351;0
4352;117;-19;4351;30.89515196
4353;120;36;3943;9.848696836
4354;43;57;4168;18.96890646
4355;41;54;2450;21.78416373
4356;55;48;4453;21.49382524
4357;16;44;2122;30.68645253
4358;99;46;3966;24.99008754
4359;31;66;4359;0
4360;88;26;3131;66.86811356
4361;11;85;3616;40.23982214
4362;57;66;2526;26.17064292
4363;9;46;2122;31.86732322
4364;100;90;2516;22.41369726
4365;34;36;3403;23.0425792
4366;22;26;3015;2.621090121
4367;90;46;3966;35.46203
4368;15;67;2122;28.45666645
4369;92;64;3664;31.47836535
4370;84;19;3131;44.07020082
4371;61;44;632;10.6474759
4372;15;52;2122;28.7921036
4373;53;21;2693;17.2705579
4374;97;88;2516;48.12273754
4375;82;32;2989;56.214819
4376;29;44;3531;17.63945487
4377;96;33;3966;30.33453841
4378;49;21;2693;7.642186449
4379;36;1;2153;40.14476371
4380;71;84;3761;68.43366674
4381;32;49;2450;25.30023015
4382;52;86;4016;26.8627121
4383;96;64;3664;31.53169871
4384;98;42;3966;2.473909357
4385;117;-16;4351;34.81510851
4386;34;63;4244;14.16759648
4387;52;73;2509;13.86463957
4388;19;37;3531;26.35627971
4389;43;44;65;10.64002526
4390;80;26;3131;84.21412562
4391;107;84;2516;33.7895218
4392;97;32;3966;39.33552979
4393;43;9;3780;37.25776456
4394;29;74;3040;18.02046315
4395;42;53;2450;25.35904417
4396;89;18;3131;57.88418856
4397;61;91;3700;39.37447258
4398;62;50;2400;15.60952841
4399;137;0;3032;78.95161558
4400;71;75;3481;32.79707144
4401;41;13;3780;24.81285424
4402;69;89;3700;52.00802179
4403;81;48;3564;21.50096464
4404;42;25;3847;13.75914992
4405;26;45;2301;9.98976285
4406;127;67;3720;86.56583483
4407;44;97;951;20.27067855
4408;26;21;3015;25.36213345
4409;53;46;4453;27.585859
4410;5;31;2205;26.32896126
4411;107;79;2516;35.25349837
4412;82;23;3131;49.45375879
4413;15;68;2122;28.95155326
4414;24;43;3531;19.17693275
4415;27;32;3403;13.91987396
4416;25;19;3675;27.42870384
4417;59;25;2504;24.51883005
4418;115;86;2516;24.61726815
4419;73;-11;3565;10.30208225
4420;63;32;4085;23.91807495
4421;49;13;2693;21.20968241
4422;78;30;2989;49.3387844
4423;23;82;4045;35.7672063
4424;56;17;2504;27.43774272
4425;61;51;4453;10.01138345
4426;51;88;4016;28.55525979
4427;102;60;3664;17.18264321
4428;23;69;4359;27.02517143
4429;38;19;2458;16.27561034
4430;77;25;3131;41.60864884
4431;60;65;2526;22.90124755
4432;13;60;2122;33.99643218
4433;66;43;2400;12.50043325
4434;27;44;3531;12.44209376
4435;74;29;4085;36.06314332
4436;51;92;4016;38.24694808
4437;39;15;2458;31.16372807
4438;55;33;2459;28.28483907
4439;41;100;3055;35.58176982
4440;129;40;3720;26.3408878
4441;0;27;2205;13.38823465
4442;23;24;3015;13.57430795
4443;78;43;2989;24.37773947
4444;77;88;3761;69.16461922
4445;56;91;3761;45.49741875
4446;97;67;2783;38.54506335
4447;16;34;3729;19.82790263
4448;28;76;3040;23.90876459
4449;82;37;2989;46.35658157
4450;28;31;3403;4.988911928
4451;32;28;2458;19.57815023
4452;40;91;3761;41.10034729
4453;59;51;4453;0
4454;105;57;3664;35.45025997
4455;129;2;3854;26.1898614
4456;98;23;3966;76.49172439
4457;85;37;3624;51.01131477
4458;13;15;4458;0
4459;63;83;3700;21.5134488
4460;40;93;3055;33.42782885
4461;123;38;3943;24.67521381
4462;102;55;3664;30.7013415
4463;40;28;2625;23.52707595
4464;27;86;4045;43.63404382
4465;71;65;3481;11.45651033
4466;82;22;3131;47.02258323
4467;126;-14;3854;28.67359502
4468;40;96;3055;26.4481007
4469;26;23;3015;20.11650965
4470;129;-25;4351;76.52001455
4471;99;39;3966;8.043927655
4472;37;52;2450;5.633033531
4473;149;-10;3032;10.50707055
4474;33;68;4359;9.969487575
4475;107;70;3148;7.903797334
4476;27;24;3015;20.17981159
4477;47;87;3761;21.57817932
4478;29;65;4359;25.35139717
4479;56;56;1999;15.41833313
4480;106;97;2516;28.02051058
4481;62;62;2526;20.47852435
4482;38;55;2450;14.42940546
4483;117;-13;4351;37.20377991
4484;59;82;3700;10.94203953
4485;15;42;2122;31.60618023
4486;60;58;1999;16.56485128
4487;59;9;2504;40.03371579
4488;123;-13;3854;49.00916181
4489;36;75;3761;35.27470177
4490;5;36;2205;38.82043487
4491;125;29;3943;19.76386389
4492;71;2;3131;39.36594106
4493;53;40;4009;19.21595159
4494;62;66;2526;10.10027366
4495;70;44;2989;2.692599091
4496;17;78;4045;8.967267387
4497;92;24;3966;65.33149002
4498;133;29;3943;40.4737363
4499;77;13;3131;37.84752616
4500;59;65;2526;20.35724064
4501;80;70;3175;45.0070182
4502;89;91;2783;58.44738031
